TotalContractValue,IndustryType,ResponseTime,PreviousViolations,Label
15000000,Manufacturing,12,0,1
35000000,Manufacturing,24,0,1
55000000,Manufacturing,36,1,1
75000000,Manufacturing,48,0,1
45000000,Manufacturing,30,1,1
90000000,Manufacturing,40,0,1
115000000,Manufacturing,60,0,1
130000000,Manufacturing,72,1,1
145000000,Manufacturing,48,0,1
160000000,Manufacturing,100,3,0
280000000,Manufacturing,200,6,0
120000000,Manufacturing,85,3,0
350000000,Manufacturing,240,8,0
200000000,Manufacturing,130,4,0
14000000,Manufacturing,120,3,0
50000000,Manufacturing,80,2,0
65000000,Manufacturing,90,2,0
40000000,Manufacturing,85,3,0
15500000,Construction,12,0,1
35300000,Construction,24,0,1
55500000,Construction,36,1,1
75300000,Construction,48,0,1
45400000,Construction,30,1,1
85000000,Construction,44,0,1
161000000,Construction,101,3,0
280500000,Construction,201,6,0
120800000,Construction,86,3,0
351000000,Construction,241,8,0
200500000,Construction,131,4,0
42000000,Construction,75,2,0
55000000,Construction,88,3,0
16000000,Retail,10,0,1
33000000,Retail,20,0,1
54000000,Retail,30,1,1
72000000,Retail,44,0,1
42000000,Retail,28,1,1
45000000,Retail,20,0,1
162000000,Retail,102,3,0
281000000,Retail,202,6,0
121600000,Retail,87,3,0
352000000,Retail,242,8,0
201000000,Retail,132,4,0
25000000,Retail,110,3,0
38000000,Retail,95,2,0
16500000,Healthcare,14,0,1
36900000,Healthcare,26,0,1
56500000,Healthcare,38,1,1
76900000,Healthcare,50,0,1
46600000,Healthcare,32,1,1
163000000,Healthcare,103,3,0
281500000,Healthcare,203,6,0
122400000,Healthcare,88,3,0
353000000,Healthcare,243,8,0
201500000,Healthcare,133,4,0
45000000,Healthcare,78,2,0
17000000,Chemical,12,0,1
37200000,Chemical,24,0,1
57000000,Chemical,36,1,1
77200000,Chemical,48,0,1
47200000,Chemical,30,1,1
78000000,Chemical,0,0,1
110000000,Chemical,64,1,1
164000000,Chemical,104,4,0
282000000,Chemical,204,7,0
123200000,Chemical,89,4,0
354000000,Chemical,244,9,0
202000000,Chemical,134,5,0
38000000,Chemical,92,3,0
55000000,Chemical,80,2,0
17500000,FoodAndBeverage,11,0,1
37500000,FoodAndBeverage,22,0,1
57500000,FoodAndBeverage,34,1,1
77500000,FoodAndBeverage,46,0,1
